# x y z u_s u_c u(t)
9.677419354839e-02 1.935483870968e-01 0.000000000000e+00 2.764271490050e-09 1.382135745025e-09 -2.078903682621e-10
1.290322580645e-01 1.935483870968e-01 0.000000000000e+00 2.784896782160e-09 1.392448391080e-09 -2.094415182081e-10
1.612903225806e-01 1.935483870968e-01 0.000000000000e+00 3.073552554249e-09 1.536776277124e-09 -2.311502233684e-10
1.935483870968e-01 1.935483870968e-01 0.000000000000e+00 5.527193567608e-09 2.763596783804e-09 -4.156792523318e-10
2.258064516129e-01 1.935483870968e-01 0.000000000000e+00 2.033620207363e-08 1.016810103681e-08 -1.529408581378e-09
2.580645161290e-01 1.935483870968e-01 0.000000000000e+00 9.000839005113e-08 4.500419502557e-08 -6.769189430838e-09
2.903225806452e-01 1.935483870968e-01 0.000000000000e+00 3.613301588887e-07 1.806650794443e-07 -2.717426998975e-08
3.225806451613e-01 1.935483870968e-01 0.000000000000e+00 1.272342432526e-06 6.361712162632e-07 -9.568804576741e-08
3.548387096774e-01 1.935483870968e-01 0.000000000000e+00 3.987245841363e-06 1.993622920681e-06 -2.998656279950e-07
3.870967741935e-01 1.935483870968e-01 0.000000000000e+00 1.132245602324e-05 5.661228011622e-06 -8.515189484017e-07
4.193548387097e-01 1.935483870968e-01 0.000000000000e+00 2.958151938161e-05 1.479075969081e-05 -2.224713809817e-06
4.516129032258e-01 1.935483870968e-01 0.000000000000e+00 7.198015486390e-05 3.599007743195e-05 -5.413354280173e-06
4.838709677419e-01 1.935483870968e-01 0.000000000000e+00 1.647259681978e-04 8.236298409891e-05 -1.238841492749e-05
5.161290322581e-01 1.935483870968e-01 0.000000000000e+00 3.573574368198e-04 1.786787184099e-04 -2.687549663956e-05
5.483870967742e-01 1.935483870968e-01 0.000000000000e+00 7.396876252167e-04 3.698438126083e-04 -5.562909915280e-05
5.806451612903e-01 1.935483870968e-01 0.000000000000e+00 1.468691401978e-03 7.343457009891e-04 -1.104547066089e-04
6.129032258065e-01 1.935483870968e-01 0.000000000000e+00 2.809980541676e-03 1.404990270838e-03 -2.113279725676e-04
6.451612903226e-01 1.935483870968e-01 0.000000000000e+00 5.200197674798e-03 2.600098837399e-03 -3.910871321942e-04
